subj,condition
001,sham
002,real
003,sham
004,real
005,sham
006,real
007,sham
008,sham
009,real
010,sham
011,sham
012,sham
013,real
014,real
015,real
016,real
017,sham
018,real
019,real
020,sham
021,sham
022,real
023,sham
024,real
025,sham
026,sham
027,sham
028,real
029,sham
030,real
031,real
032,real
033,sham
034,real
035,real
036,real
037,sham
038,sham
039,real
040,sham
041,real
042,sham
043,real
044,sham
045,real
046,real
047,real
048,real
049,sham
050,sham
051,real
052,sham
053,sham
054,real
055,sham
056,real
057,sham
058,sham
059,sham
060,real
061,real
062,sham
063,real
064,real
065,sham
066,real
067,sham
068,real
069,sham
070,real
071,sham
072,real
073,sham
074,sham
075,sham
076,sham
077,real
078,real
079,real
080,sham
